,ts,price,volume,vwap,ma1,cross1,cross2,lower,upper,profit,profit_max,drawdown,dd_ratio,n_minus,warmup
2026-02-25 09:02:23,1771977743.3518596,368.8,1609900.0,368.75868410298324,369.21999999999963,0.0,0.0,368.6500000000001,369.8499999999999,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:25,1771977745.3449166,368.8,1609900.0,368.75868410298324,369.21333333333297,0.0,0.0,368.6500000000001,369.8499999999999,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:27,1771977747.3703196,368.9,1630500.0,368.7625414071817,369.21333333333297,0.0,0.0,368.6500000000001,369.8499999999999,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:29,1771977749.3773532,369.0,1636200.0,368.7643214097843,369.20999999999964,0.0,0.0,368.40000000000003,369.99999999999994,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:31,1771977751.3823514,369.0,1636200.0,368.7643214097843,369.20666666666625,0.0,0.0,368.40000000000003,369.99999999999994,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:33,1771977753.3874574,369.0,1652800.0,368.7693564993565,369.1966666666663,0.0,0.0,368.40000000000003,369.99999999999994,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:35,1771977755.3767061,368.9,1652900.0,368.7693733110282,369.183333333333,0.0,0.0,368.40000000000003,369.99999999999994,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:37,1771977757.3800533,368.9,1652900.0,368.7693733110282,369.1699999999997,0.0,0.0,368.15,370.15,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:39,1771977759.3766682,368.8,1659300.0,368.769623484365,369.15333333333297,0.0,0.0,368.15,370.15,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:41,1771977761.390896,368.6,1664600.0,368.7684837728195,369.1299999999997,0.0,0.0,368.15,370.15,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:43,1771977763.3915782,368.8,1677300.0,368.7689831565814,369.11999999999966,0.0,0.0,368.15,370.15,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:45,1771977765.4167984,368.8,1684400.0,368.7692555033391,369.11333333333295,0.0,0.0,368.15,370.15,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:47,1771977767.4089334,369.0,1686200.0,368.7697680157947,369.1166666666663,0.0,0.0,368.15,370.15,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:49,1771977769.425949,368.9,1690200.0,368.7704076620825,369.1099999999996,0.0,0.0,368.15,370.15,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:51,1771977771.4304004,368.9,1690200.0,368.7704076620825,369.11333333333295,0.0,0.0,368.15,370.15,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:02:53,1771977773.4369285,369.0,1691900.0,368.77088592084306,369.0966666666663,0.0,0.0,368.29999999999995,369.9000000000001,0.0,0.0,0.0,0.0,0.0,1.0
