Time,Price
1773114892.61686,2710
1773114894.62079,2709.5
1773114896.63181,2708.5
1773114898.62325,2708.5
1773114900.62436,2708
1773114902.62158,2707
1773114904.61855,2707
1773114906.6309,2706.5
1773114908.62122,2706.5
1773114910.64041,2707.5
1773114912.64666,2707
1773114914.63346,2706.5
1773114916.64835,2706.5
1773114918.67291,2705.5
1773114920.6667,2706
1773114922.67355,2706.5
1773114924.66903,2706
1773114926.67332,2706.5
1773114928.66564,2707
1773114930.67686,2707.5
1773114932.67286,2707.5
1773114934.6709,2707
1773114936.66846,2707.5
1773114938.67825,2707
1773114940.67036,2707
1773114942.66788,2707
1773114944.67233,2707
1773114946.66552,2707
1773114948.68075,2707.5
1773114950.69128,2707.5
1773114952.68678,2708
1773114954.68429,2708
1773114956.68081,2708
1773114958.68617,2708
1773114960.68961,2708.5
1773114962.68102,2708.5
1773114964.69027,2708.5
1773114966.68635,2709
1773114968.68231,2709
1773114970.69232,2709
1773114972.69882,2709
1773114974.71061,2708
1773114976.71749,2708
1773114978.72538,2707.5
1773114980.71905,2707.5
1773114982.71743,2707
1773114984.71668,2707
1773114986.72587,2708
1773114988.73375,2708
1773114990.743,2708
1773114992.7516,2708
1773114994.74633,2708.5
1773114996.7524,2708.5
1773114998.74527,2708.5
1773115000.7538,2708
1773115002.75066,2707.5
1773115004.74573,2707
1773115006.7423,2707
1773115008.75496,2707
1773115010.75047,2707
1773115012.74289,2707
1773115014.74788,2707
1773115016.75305,2707
1773115018.74763,2707
1773115020.74504,2707
1773115022.74305,2707.5
1773115024.75541,2707.5
1773115026.74802,2707
1773115028.74301,2707
1773115030.74834,2707
1773115032.7569,2707
1773115034.7634,2706.5
1773115036.77274,2707
1773115038.76586,2706.5
1773115040.76481,2707
1773115042.76356,2706
1773115044.76018,2706.5
1773115046.77476,2706
1773115048.78347,2706
1773115050.77906,2706
1773115052.79017,2706
1773115054.79843,2706
1773115056.79778,2706.5
1773115058.79494,2706.5
1773115060.7895,2707
1773115062.80152,2707
1773115064.80994,2707
1773115066.81866,2708
1773115068.80979,2708.5
1773115070.81964,2708
1773115072.83065,2709
1773115074.82354,2708.5
1773115076.82261,2708.5
1773115078.82236,2708.5
1773115080.82068,2708
1773115082.83153,2708
1773115084.82666,2708
1773115086.83637,2708
1773115088.8452,2708
1773115090.84096,2708
1773115092.84086,2708
1773115094.84887,2707.5
1773115096.84141,2707
1773115098.85091,2707
1773115100.8441,2707
1773115102.83682,2706.5
1773115104.84533,2706.5
1773115106.83808,2706.5
1773115108.83605,2706
1773115110.84418,2705.5
1773115112.84125,2707
1773115114.85165,2706.5
1773115116.86264,2706.5
1773115118.87383,2706.5
1773115120.8696,2707
1773115122.87878,2707
1773115124.8705,2707.5
1773115126.872,2707.5
1773115128.86961,2707.5
1773115130.86944,2707.5
1773115132.86926,2707.5
1773115134.87956,2707.5
1773115136.87743,2707.5
1773115138.87054,2707.5
1773115140.88152,2707.5
1773115142.88099,2707.5
1773115144.87459,2708
1773115146.87116,2708.5
1773115148.896,2708.5
1773115150.88327,2708.5
1773115152.89279,2708.5
1773115154.89055,2709
1773115156.90502,2708.5
1773115158.89897,2707.5
1773115160.90755,2708
1773115162.92126,2707.5
1773115164.92097,2707.5
1773115166.91938,2707.5
1773115168.91599,2708
1773115170.9254,2708
1773115172.91954,2707.5
1773115174.93272,2708
1773115176.94238,2707.5
1773115178.95182,2707.5
1773115180.95133,2707.5
1773115182.95137,2707.5
1773115184.94996,2707
1773115186.9578,2707.5
1773115188.9541,2707.5
1773115190.95067,2708
1773115192.96021,2708.5
1773115194.95219,2708
1773115196.94482,2708
1773115198.954,2708.5
1773115200.9547,2708
1773115202.95214,2709
1773115204.94829,2708
1773115206.95781,2708.5
1773115208.94883,2709.5
1773115210.95753,2709.5
1773115212.95131,2709.5
1773115214.96067,2708.5
1773115216.97176,2708.5
1773115218.96664,2708.5
1773115220.96269,2708.5
1773115222.96711,2708.5
1773115224.97598,2707.5
1773115226.98699,2706.5
1773115228.98334,2706.5
1773115230.99306,2706.5
1773115233.0033,2707
1773115234.99567,2705
1773115237.00142,2705
1773115239.00054,2705.5
1773115240.99835,2706
1773115242.99363,2706
1773115245.00701,2705.5
1773115247.00573,2706
1773115249.00334,2705.5
1773115250.99518,2705.5
1773115252.99968,2705.5
1773115254.99487,2705.5
1773115257.00375,2705.5
1773115259.00082,2705.5
1773115260.99821,2705.5
1773115262.99515,2705.5
1773115265.00506,2706.5
1773115266.99932,2706
1773115269.00761,2706
1773115271.0176,2706
1773115273.01358,2706.5
1773115275.01416,2706.5
1773115277.00962,2705.5
1773115279.02349,2705.5
1773115281.03428,2705.5
1773115283.03352,2705.5
1773115285.02665,2705.5
1773115287.04025,2705.5
1773115289.05362,2705.5
1773115291.05003,2706.5
1773115293.05649,2706
1773115295.06031,2706
1773115297.05632,2706
1773115299.06292,2706
1773115301.05792,2706.5
1773115303.06428,2706.5
1773115305.07138,2705
1773115307.08245,2705.5
1773115309.07802,2705.5
1773115311.07599,2705.5
1773115313.07496,2705
1773115315.07291,2705.5
1773115317.08473,2706
1773115319.08009,2706.5
1773115321.07842,2706.5
1773115323.0714,2707
1773115325.08057,2708
1773115327.07553,2708
1773115329.07295,2708
1773115331.08509,2708
1773115333.09702,2709
1773115335.0948,2709
1773115337.08844,2708.5
1773115339.09533,2708.5
1773115341.09071,2709
1773115343.09683,2709
1773115345.10848,2708.5
1773115347.10313,2708.5
1773115349.11599,2708.5
1773115351.11425,2708.5
1773115353.12182,2708
1773115355.12937,2707.5
1773115357.13534,2707.5
1773115359.13275,2708.5
1773115361.14191,2708.5
1773115363.15671,2707.5
1773115365.17109,2708
1773115367.17035,2707.5
1773115369.16689,2707.5
1773115371.16449,2707.5
1773115373.16476,2708
1773115375.18137,2708
1773115377.19032,2708
1773115379.18219,2707.5
1773115381.20292,2707
1773115383.19925,2707
1773115385.19632,2706.5
1773115387.20259,2706.5
1773115389.19617,2706.5
1773115391.21767,2706.5
1773115393.24006,2706.5
1773115395.24588,2707.5
1773115397.25165,2707.5
1773115399.24972,2707
1773115401.2443,2707
1773115403.24402,2706.5
1773115405.26974,2706
1773115407.27667,2706
1773115409.2885,2706
1773115411.29578,2706
1773115413.28974,2706
1773115415.29714,2706
1773115417.29203,2706
1773115419.30575,2707
1773115421.3073,2707.5
1773115423.31833,2707.5
1773115425.3177,2707.5
1773115427.3277,2707.5
1773115429.33617,2707
1773115431.34506,2706.5
1773115433.33798,2706
1773115435.35781,2706.5
1773115437.35518,2706.5
1773115439.36819,2706.5
1773115441.38012,2706
1773115443.37911,2706.5
1773115445.37095,2706.5
1773115447.3752,2707
1773115449.38344,2707
1773115451.39098,2707.5
1773115453.39714,2707.5
1773115455.3884,2707
1773115457.38619,2707
1773115459.38617,2707
1773115461.40101,2706.5
1773115463.41408,2706.5
1773115465.42679,2707
1773115467.42433,2707
1773115469.43037,2707
1773115471.45272,2707.5
1773115473.45779,2707.5
1773115475.44837,2707.5
1773115477.45557,2708
1773115479.44906,2707.5
1773115481.44469,2707.5
1773115483.45779,2707.5
1773115485.45331,2707
1773115487.46206,2707
1773115489.48768,2707
1773115491.49483,2707
1773115493.50722,2707
1773115495.52967,2707
1773115497.53949,2707
1773115499.55478,2707
1773115501.579,2707
1773115503.57759,2707.5
1773115505.57229,2707.5
1773115507.58309,2707.5
1773115509.57753,2707.5
1773115511.57189,2708
1773115513.56957,2708
1773115515.58036,2708.5
1773115517.57312,2708.5
1773115519.59729,2708.5
1773115521.59201,2708.5
1773115523.58699,2708.5
1773115525.5872,2708.5
1773115527.60087,2707.5
1773115529.59423,2706.5
1773115531.58732,2706.5
1773115533.59614,2706.5
1773115535.58983,2706.5
1773115537.59895,2706.5
1773115539.6075,2707
1773115541.61761,2707
1773115543.63076,2707
1773115545.63039,2707
1773115547.62894,2707
1773115549.62457,2707.5
1773115551.63234,2707.5
1773115553.63785,2707
1773115555.64269,2707.5
1773115557.64638,2707.5
1773115559.65323,2707.5
1773115561.66445,2707.5
1773115563.67681,2707
1773115565.6761,2707
1773115567.67184,2707
1773115569.67103,2706.5
1773115571.66803,2706.5
1773115573.67867,2707
1773115575.66879,2706.5
1773115577.66761,2707
1773115579.67972,2707
1773115581.69047,2706.5
1773115583.68842,2706.5
1773115585.68197,2706
1773115587.68685,2706
1773115589.69044,2706
1773115591.68259,2706
1773115593.69208,2706
1773115595.68865,2706
1773115597.68961,2706
1773115599.68575,2706
1773115601.68168,2705.5
1773115603.69084,2705.5
1773115605.68368,2705.5
1773115607.6922,2706
1773115609.69629,2706
1773115611.70267,2706
1773115613.71278,2706
1773115615.72191,2705.5
1773115617.71857,2705.5
1773115619.71729,2705
1773115621.7115,2705
1773115623.72507,2705
1773115625.71841,2704
1773115627.71187,2704
1773115629.72192,2703.5
1773115631.71961,2703
1773115633.7204,2704.5
1773115635.7193,2705
1773115637.71367,2705.5
1773115639.72633,2705.5
1773115641.73337,2705.5
1773115643.73668,2705
1773115645.742,2705.5
1773115647.75238,2706
1773115649.76198,2706
1773115651.76125,2706
1773115653.78609,2706.5
1773115655.77934,2706.5
1773115657.78607,2707.5
1773115659.78106,2708
1773115661.77659,2707.5
1773115663.78855,2708.5
1773115665.78456,2708.5
1773115667.78442,2708.5
1773115669.77842,2708.5
1773115671.78803,2708.5
1773115673.77725,2709
1773115675.78608,2709
1773115677.78201,2709.5
1773115679.77605,2709.5
1773115681.78812,2709.5
1773115683.78805,2709
1773115685.78362,2709
1773115687.78421,2709
1773115689.77927,2709
1773115691.77631,2709.5
1773115693.7871,2709
1773115695.79634,2709
1773115697.78986,2709
1773115699.80002,2709
1773115701.78979,2709
1773115703.80088,2709
1773115705.79444,2709
1773115707.7892,2708.5
1773115709.79659,2708.5
1773115711.79039,2708.5
1773115713.79196,2709
1773115715.79622,2709
1773115717.79255,2708.5
1773115719.79225,2708.5
1773115721.79443,2708.5
1773115723.79002,2708
1773115725.7901,2708.5
1773115727.80147,2708.5
1773115729.7988,2708.5
1773115731.79176,2708.5
1773115733.80185,2708.5
1773115735.79226,2708.5
1773115737.80021,2708
1773115739.79501,2708.5
1773115741.79147,2708
1773115743.80336,2709
1773115745.80053,2709
1773115747.79932,2709.5
1773115749.79413,2709
1773115751.80436,2709.5
1773115753.80801,2710
1773115755.81832,2710.5
1773115757.81628,2710.5
1773115759.81281,2710
1773115761.81856,2710
1773115763.81523,2710
1773115765.81544,2710
1773115767.81136,2710
1773115769.80763,2709
1773115771.81965,2709
1773115773.82859,2709
1773115775.83555,2709
1773115777.86144,2709
1773115779.85618,2709
1773115781.85531,2708
1773115783.85387,2708
1773115785.86846,2708
1773115787.86852,2708
1773115789.88194,2708
1773115791.87444,2708
1773115793.88175,2708.5
1773115795.87393,2708.5
1773115797.88115,2708
1773115799.88126,2708.5
1773115801.87835,2708
1773115803.87455,2709
1773115805.87452,2709
1773115807.8693,2709
1773115809.87969,2708
1773115811.87035,2708
1773115813.88098,2708
1773115815.87271,2707.5
1773115817.88138,2707.5
1773115819.87874,2707.5
1773115821.88871,2707
1773115823.90092,2708
1773115825.92945,2707.5
1773115827.92461,2707.5
1773115829.93049,2706
1773115831.93964,2707
1773115833.93618,2706
1773115835.93675,2706.5
1773115837.93479,2707
1773115839.93154,2707
1773115841.93073,2706
1773115843.94207,2706.5
1773115845.93449,2707
1773115847.94541,2706
1773115849.95781,2707
1773115851.95351,2706.5
1773115853.95018,2705.5
1773115855.94577,2704.5
1773115857.95375,2704.5
1773115859.95234,2704
1773115861.95149,2703.5
1773115863.94609,2703
1773115865.95806,2704
1773115867.95038,2704
1773115869.95774,2703.5
1773115871.95442,2703.5
1773115873.95153,2703
1773115875.94888,2702.5
1773115877.9457,2702.5
1773115879.95469,2702.5
1773115881.94842,2703.5
1773115883.95421,2702.5
1773115885.94886,2702.5
1773115887.95641,2703
1773115889.95314,2703.5
1773115891.94796,2703.5
1773115893.95489,2703.5
1773115895.94982,2704
1773115897.94719,2704
1773115899.95861,2704
1773115901.95189,2704
1773115903.94786,2704
1773115905.96147,2704
1773115907.97175,2703.5
1773115909.96444,2703.5
1773115911.96285,2703.5
1773115913.96816,2703.5
1773115915.96768,2704
1773115917.96782,2703.5
1773115919.96326,2703.5
1773115921.97445,2704.5
1773115923.96737,2704
1773115925.96283,2704
1773115927.97532,2706
1773115929.97307,2706
1773115931.97201,2706.5
1773115933.96994,2706.5
1773115935.96152,2706.5
1773115937.97039,2706.5
1773115939.98372,2707
1773115941.98089,2706.5
1773115943.98057,2706.5
1773115945.97844,2706.5
1773115947.99174,2707
1773115950.00275,2706.5
1773115951.99638,2706.5
1773115954.00787,2706.5
1773115956.0147,2706
1773115958.02067,2706.5
1773115960.01443,2707
1773115962.02045,2707.5
1773115964.01599,2708
1773115966.00851,2709.5
1773115968.0145,2709.5
1773115970.02595,2709
1773115972.03658,2709
1773115974.03165,2708.5
1773115976.03088,2709
1773115978.04449,2709
1773115980.05362,2709
1773115982.04502,2708.5
1773115984.04234,2709
1773115986.04019,2709
1773115988.06874,2708.5
1773115990.06328,2709
1773115992.07281,2708.5
1773115994.08353,2707.5
1773115996.07944,2707.5
1773115998.07392,2707.5
1773116000.08618,2707.5
1773116002.10373,2708
1773116004.11836,2707.5
1773116006.1291,2707.5
1773116008.1271,2707.5
1773116010.12168,2707
1773116012.1466,2707.5
1773116014.14028,2708
1773116016.16171,2708
1773116018.16457,2708.5
1773116020.17014,2708
1773116022.1832,2708
1773116024.18176,2708
1773116026.18938,2707.5
1773116028.19699,2707
1773116030.22033,2707
1773116032.23991,2706.5
1773116034.24649,2706.5
1773116036.25709,2706.5
1773116038.2507,2706
1773116040.25873,2706.5
1773116042.26765,2707
1773116044.26545,2707.5
1773116046.27881,2707.5
1773116048.30073,2707.5
1773116050.28963,2707.5
1773116052.29662,2707.5
1773116054.30563,2707.5
1773116056.31642,2708
1773116058.31148,2708.5
1773116060.31935,2708.5
1773116062.3156,2708
1773116064.31417,2709
1773116066.31186,2709
1773116068.32305,2709.5
1773116070.34744,2710.5
1773116072.35073,2710.5
1773116074.34261,2710.5
1773116076.35273,2710
1773116078.36537,2711.5
1773116080.35665,2711
1773116082.37445,2711
1773116084.36874,2711
1773116086.377,2710.5
1773116088.37009,2710.5
1773116090.38818,2711
1773116092.40739,2711
1773116094.39913,2710
1773116096.41767,2710.5
1773116098.42717,2710.5
1773116100.43863,2710.5
1773116102.43911,2710.5
1773116104.43504,2710.5
1773116106.44262,2710.5
1773116108.4348,2710.5
1773116110.45753,2710.5
1773116112.4491,2710
1773116114.45602,2709
1773116116.44681,2709.5
1773116118.4558,2709
1773116120.45037,2709
1773116122.46088,2709.5
1773116124.47516,2709.5
1773116126.46834,2709.5
1773116128.47276,2709.5
1773116130.4643,2709.5
1773116132.46952,2709.5
1773116134.46161,2709.5
1773116136.47224,2709.5
1773116138.46504,2709.5
1773116140.46484,2709.5
1773116142.47653,2709.5
1773116144.49185,2709.5
1773116146.49486,2709.5
1773116148.50753,2709.5
1773116150.51603,2709.5
1773116152.52358,2709.5
1773116154.5474,2709.5
1773116156.55475,2709.5
1773116158.57988,2709.5
1773116160.57671,2710
1773116162.5887,2710
1773116164.59592,2709.5
1773116166.58862,2709.5
1773116168.6085,2710
1773116170.61611,2710
1773116172.62401,2709.5
1773116174.61845,2709.5
1773116176.62362,2709.5
1773116178.62037,2710
1773116180.63199,2709.5
1773116182.62604,2709.5
1773116184.61988,2709.5
1773116186.61829,2709.5
1773116188.62496,2709.5
1773116190.63315,2709.5
1773116192.63672,2710
1773116194.63364,2710
1773116196.64544,2710.5
1773116198.63732,2710.5
1773116200.63504,2710.5
1773116202.64673,2710
1773116204.64572,2710
1773116206.6397,2710
1773116208.64972,2709
1773116210.65464,2709
1773116212.66179,2709
1773116214.67092,2709
1773116216.67803,2709.5
1773116218.67003,2709.5
1773116220.67972,2709.5
1773116222.69148,2709.5
1773116224.6884,2709.5
1773116226.68419,2709
1773116228.6936,2710
1773116230.69085,2710
1773116232.68654,2710
1773116234.68434,2710
1773116236.69336,2709.5
1773116238.69175,2709.5
1773116240.68774,2709
1773116242.68485,2709
1773116244.68083,2709
1773116246.69684,2709.5
1773116248.69592,2709
1773116250.70342,2709
1773116252.69876,2709.5
1773116254.70685,2709.5
1773116256.70075,2710
1773116258.69677,2709.5
1773116260.70426,2709
1773116262.70618,2709
1773116264.70263,2709
1773116266.70343,2709
1773116268.69901,2709
1773116270.69722,2709
1773116272.70765,2709
1773116274.7014,2708.5
1773116276.71016,2708.5
1773116278.70163,2708.5
1773116280.70913,2708.5
1773116282.71683,2708.5
1773116284.71204,2708.5
1773116286.72588,2708.5
1773116288.73836,2709
1773116290.73681,2709
1773116292.73545,2709
1773116294.74418,2708.5
1773116296.75153,2708.5
1773116298.74297,2708.5
1773116300.75545,2708
1773116302.74932,2708
1773116304.74439,2708.5
1773116306.75257,2708.5
1773116308.74493,2708.5
1773116310.74261,2708.5
1773116312.75564,2709
1773116314.75344,2709
1773116316.74852,2709
1773116318.74372,2709
1773116320.75032,2709
1773116322.74675,2709
1773116324.74651,2709
1773116326.76522,2709
1773116328.76286,2709
1773116330.759,2709
1773116332.77246,2710
1773116334.77027,2710.5
1773116336.76696,2710.5
1773116338.76009,2710
1773116340.76938,2710.5
1773116342.76592,2711
1773116344.76298,2711
1773116346.77218,2711
1773116348.76465,2711
1773116350.76176,2711
1773116352.77438,2711
1773116354.78777,2712
1773116356.78061,2711.5
1773116358.78037,2712
1773116360.78065,2711.5
1773116362.77596,2711.5
1773116364.78248,2711.5
1773116366.77671,2711.5
1773116368.78636,2711.5
1773116370.78071,2712
1773116372.77951,2712
1773116374.77549,2711.5
1773116376.78396,2711.5
1773116378.77823,2711.5
1773116380.78842,2711.5
1773116382.78286,2711.5
1773116384.78162,2711
1773116386.77889,2711
1773116388.77808,2711
1773116390.77533,2711.5
1773116392.78244,2712
1773116394.7893,2712
1773116396.79773,2712
1773116398.79049,2712
1773116400.78931,2712
1773116402.79817,2713
1773116404.79602,2713
1773116406.7929,2713
1773116408.79805,2713.5
1773116410.79153,2713
1773116412.79834,2712.5
1773116414.79079,2712
1773116416.80331,2711.5
1773116418.80364,2711.5
1773116420.81329,2711
1773116422.81101,2711
1773116424.81165,2711
1773116426.80621,2711
1773116428.82711,2711
1773116430.82128,2711
1773116432.82848,2711.5
1773116434.8352,2711
1773116436.83048,2711
1773116438.82731,2711.5
1773116440.82848,2712
1773116442.8256,2711.5
1773116444.83703,2711.5
1773116446.84488,2711.5
1773116448.84131,2712.5
1773116450.8374,2712
1773116452.84586,2712
1773116454.84043,2712.5
1773116456.848,2712.5
1773116458.84266,2712.5
1773116460.84105,2712.5
1773116462.83981,2711.5
1773116464.83628,2711.5
1773116466.85068,2710.5
1773116468.84702,2711
1773116470.84368,2710.5
1773116472.84934,2710
1773116474.84668,2710
1773116476.84292,2710.5
1773116478.84064,2711
1773116480.83617,2710
1773116482.837,2710
1773116484.83622,2710
1773116486.84473,2710
1773116488.84054,2710
1773116490.85094,2710
1773116492.85742,2710
1773116494.88243,2710
1773116496.90692,2710
1773116498.90866,2710.5
1773116500.92083,2710.5
1773116502.92034,2710
1773116504.93246,2710.5
1773116506.96004,2710
1773116508.97228,2710
1773116510.97891,2710
1773116512.99907,2710
1773116515.00627,2710.5
1773116517.00037,2710.5
1773116518.99663,2710.5
1773116521.00372,2710.5
1773116523.00125,2710.5
1773116524.99554,2710.5
1773116527.00552,2710.5
1773116529.01579,2710.5
1773116531.02674,2710.5
1773116533.04696,2711
1773116535.05337,2711
1773116537.04572,2710.5
1773116539.05537,2710.5
1773116541.0653,2710.5
1773116543.06164,2710.5
1773116545.05588,2710
1773116547.05705,2710
1773116549.05623,2710
1773116551.08389,2710.5
1773116553.09829,2710.5
1773116555.10829,2710.5
1773116557.13049,2710.5
1773116559.12556,2710.5
1773116561.11738,2710.5
1773116563.12453,2710.5
1773116565.13257,2710.5
1773116567.14269,2710.5
1773116569.1359,2711
1773116571.14804,2711.5
1773116573.15617,2711.5
1773116575.1658,2711
1773116577.19251,2711
1773116579.20177,2711
1773116581.2064,2711
1773116583.19546,2711
1773116585.20275,2711
1773116587.19583,2711
1773116589.20443,2711
1773116591.19863,2710.5
1773116593.20822,2711
1773116595.20309,2711
1773116597.19961,2711
1773116599.22459,2711
1773116601.21804,2711
1773116603.24124,2710.5
1773116605.24773,2711
1773116607.24396,2710.5
1773116609.25367,2710.5
1773116611.25045,2711
1773116613.2474,2711
1773116615.24716,2711
1773116617.25735,2711.5
1773116619.2642,2711.5
1773116621.25904,2711.5
1773116623.27951,2711
1773116625.29739,2711
1773116627.31737,2711
1773116629.32405,2711
1773116631.3317,2710.5
1773116633.32788,2710.5
1773116635.32183,2710.5
1773116637.33409,2710.5
1773116639.33129,2710.5
1773116641.32723,2710.5
1773116643.33697,2710.5
1773116645.34262,2710
1773116647.34882,2710
1773116649.35065,2710
1773116651.35826,2710
1773116653.36622,2710
1773116655.35342,2710.5
