,ts,price,ma1,ma2,vwap,momentum,profit,profit_max,dd_ratio,diff_ma,diff_vwap,n_trade,count_negative,ma_gc,ma_dc,vwap_gc,vwap_dc,warmup
2026-07-13 12:35:15,1783913715.9162347,6305.0,6306.344442327005,6335.361111111111,6406.895502774833,0.09172553837207444,0.0,0.0,0.0,-0.004580112842062999,-0.01569419392032847,0,0,False,False,False,False,0.0
2026-07-13 12:35:17,1783913717.9107585,6305.0,6306.067775977954,6335.35,6406.892713278946,0.11292238112402966,0.0,0.0,0.0,-0.004622037302129582,-0.015736947973550745,0,0,False,False,False,False,0.0
2026-07-13 12:35:19,1783913719.9318762,6304.0,6305.457609581261,6335.335555555555,6406.879033519465,0.0799769449524529,0.0,0.0,0.0,-0.004716079473974211,-0.0158300825421533,0,0,False,False,False,False,0.0
2026-07-13 12:35:21,1783913721.952207,6305.0,6305.088968144071,6335.321111111111,6406.87425315941,0.054763644082106454,0.0,0.0,0.0,-0.004771998520172543,-0.015886886646034198,0,0,False,False,False,False,0.0
2026-07-13 12:35:23,1783913723.9436276,6302.0,6304.250622922461,6335.304444444444,6406.850064307299,0.021707101390112307,0.0,0.0,0.0,-0.004901709427589514,-0.01601402254696456,0,0,False,False,False,False,0.0
2026-07-13 12:35:25,1783913725.9402783,6300.0,6303.238029484091,6335.2844444444445,6406.737819831922,0.007767654783228681,0.0,0.0,0.0,-0.005058401914132733,-0.016154834684736,0,0,False,False,False,False,0.0
2026-07-13 12:35:27,1783913727.944854,6303.0,6303.052325061478,6335.266666666666,6406.709064858302,0.012685920450980706,0.0,0.0,0.0,-0.005084922750716397,-0.016179404862536297,0,0,False,False,False,False,0.0
2026-07-13 12:35:29,1783913729.940312,6308.0,6304.094476302256,6335.2555555555555,6406.67863025033,0.011885255817081093,0.0,0.0,0.0,-0.004918677546633973,-0.016012064888615327,0,0,False,False,False,False,0.0
2026-07-13 12:35:31,1783913731.9482465,6306.0,6304.455304856918,6335.242222222222,6406.674308149223,0.013084137975591,0.0,0.0,0.0,-0.004859627506792501,-0.015955080338996456,0,0,False,False,False,False,0.0
2026-07-13 12:35:33,1783913733.9441364,6304.0,6304.53700912838,6335.227777777778,6406.6478683100595,0.005174803672458626,0.0,0.0,0.0,-0.004844461750381336,-0.01593826620107559,0,0,False,False,False,False,0.0
2026-07-13 12:35:35,1783913735.9436257,6305.0,6304.981457759123,6335.212222222222,6406.6431093476285,0.0013859197012405858,0.0,0.0,0.0,-0.004771862946762502,-0.015868162133173234,0,0,False,False,False,False,0.0
2026-07-13 12:35:37,1783913737.9533288,6303.0,6304.684239095255,6335.194444444444,6406.6410875637885,0.04744604614160347,0.0,0.0,0.0,-0.004815985620764117,-0.015914243840886636,0,0,False,False,False,False,0.0
2026-07-13 12:35:39,1783913739.9474802,6303.0,6304.056603230967,6335.174444444445,6406.6410875637885,0.10624941375352466,0.0,0.0,0.0,-0.004911915447058628,-0.016012210287845313,0,0,False,False,False,False,0.0
2026-07-13 12:35:41,1783913741.9485273,6304.0,6303.898112746322,6335.154444444444,6406.632278476074,0.15014340305653515,0.0,0.0,0.0,-0.004933791586649039,-0.01603559581137519,0,0,False,False,False,False,0.0
2026-07-13 12:35:43,1783913743.9440215,6304.0,6303.913395834374,6335.136666666666,6406.624671844342,0.2162578332295377,0.0,0.0,0.0,-0.0049285867811785155,-0.016032042030081888,0,0,False,False,False,False,0.0
2026-07-13 12:35:45,1783913745.94844,6303.0,6303.626386459217,6335.116666666667,6406.616992230162,0.2541500218138344,0.0,0.0,0.0,-0.004970749847929561,-0.016075661444386366,0,0,False,False,False,False,0.0
2026-07-13 12:35:47,1783913747.9439166,6303.0,6303.5324284903345,6335.091111111111,6406.610121961208,0.29928158804194294,0.0,0.0,0.0,-0.004981567284079882,-0.01608927209688224,0,0,False,False,False,False,0.0
2026-07-13 12:35:49,1783913749.9637246,6304.0,6303.677564216784,6335.07,6406.6049195416645,0.3136326162877731,0.0,0.0,0.0,-0.004955341580000799,-0.01606581904417542,0,0,False,False,False,False,0.0
2026-07-13 12:35:51,1783913751.9703808,6308.0,6304.6259295842665,6335.053333333333,6406.577622944747,0.2917414038125768,0.0,0.0,0.0,-0.004803022507950493,-0.015913596831379592,0,0,False,False,False,False,0.0
2026-07-13 12:35:53,1783913753.9731078,6306.0,6304.982040146627,6335.0344444444445,6406.557627237573,0.26580778386914516,0.0,0.0,0.0,-0.0047438422886828,-0.015854940047537545,0,0,False,False,False,False,0.0
2026-07-13 12:35:55,1783913755.983363,6305.0,6305.134734124633,6335.013333333333,6406.554460192721,0.2698254432078498,0.0,0.0,0.0,-0.004716422466151164,-0.015830619516038202,0,0,False,False,False,False,0.0
2026-07-13 12:35:57,1783913757.981425,6305.0,6305.264524005938,6334.995555555555,6406.551293345391,0.2604113897999934,0.0,0.0,0.0,-0.004693141658725236,-0.015809874096327198,0,0,False,False,False,False,0.0
2026-07-13 12:35:59,1783913759.977428,6304.0,6305.074845405047,6334.9766666666665,6406.550094134798,0.2680640521601411,0.0,0.0,0.0,-0.004720115453456434,-0.015839296850679693,0,0,False,False,False,False,0.0
2026-07-13 12:36:01,1783913761.9742002,6304.0,6304.6136185942905,6334.955555555555,6406.544098502506,0.2757380760644188,0.0,0.0,0.0,-0.004789605340586146,-0.01591036888859335,0,0,False,False,False,False,0.0
