,ts,price,ma1,ma2,vwap,momentum,profit,profit_max,dd_ratio,diff_ma,diff_vwap,n_trade,count_negative,vwap_gc,vwap_dc,warmup
2026-06-03 14:15:15,1780463715.3723123,8317.0,8312.0,8335.6,8370.10320251021,-32.33333333333394,-3.0,1.0,0.0,0,-0.6941754612151632,0,4,False,False,0.0
2026-06-03 14:15:17,1780463717.3776436,8318.0,8312.3,8335.58,8370.101299550768,-32.100000000000364,-4.0,1.0,0.0,0,-0.6905686978229412,0,5,False,False,0.0
2026-06-03 14:15:19,1780463719.3842206,8319.0,8312.6,8335.565,8370.099093939454,-31.83333333333212,-5.0,1.0,0.0,0,-0.6869583417606996,0,6,False,False,0.0
2026-06-03 14:15:21,1780463721.3767302,8316.0,8312.8,8335.546666666667,8370.09765705407,-31.733333333333576,-2.0,1.0,0.0,0,-0.6845518344195384,0,7,False,False,0.0
2026-06-03 14:15:23,1780463723.3903978,8318.0,8313.066666666668,8335.531666666666,8370.095754499307,-31.433333333332484,-4.0,1.0,0.0,0,-0.6813433144057383,0,8,False,False,0.0
2026-06-03 14:15:25,1780463725.3922367,8318.0,8313.366666666667,8335.515,8370.095408595189,-31.133333333333212,-4.0,1.0,0.0,0,-0.6777550214095268,0,9,False,False,0.0
2026-06-03 14:15:27,1780463727.3965483,8320.0,8313.7,8335.503333333334,8370.093994990431,-30.799999999999272,-6.0,1.0,0.0,0,-0.6737558147397498,0,10,False,False,0.0
2026-06-03 14:15:29,1780463729.4040911,8321.0,8314.0,8335.491666666667,8370.087720987049,-30.5,-7.0,1.0,0.0,0,-0.6700971705041401,0,11,False,False,0.0
2026-06-03 14:15:31,1780463731.407852,8321.0,8314.4,8335.483333333334,8370.083077627738,-30.133333333333212,-7.0,1.0,0.0,0,-0.6652631414922606,0,12,False,False,0.0
2026-06-03 14:15:33,1780463733.4228346,8322.0,8314.866666666667,8335.476666666667,8370.082120104282,-29.700000000000728,-8.0,1.0,0.0,0,-0.6596763645244508,0,13,False,False,0.0
2026-06-03 14:15:35,1780463735.4247057,8323.0,8315.333333333334,8335.47,8370.081573182873,-29.266666666666424,-9.0,1.0,0.0,0,-0.6540944597833884,0,14,False,False,0.0
2026-06-03 14:15:37,1780463737.427015,8322.0,8315.8,8335.461666666666,8370.081014657977,-28.83333333333394,-8.0,1.0,0.0,0,-0.6485124165813798,0,15,False,False,0.0
2026-06-03 14:15:39,1780463739.429302,8324.0,8316.3,8335.458333333334,8370.072910323819,-28.33333333333394,-10.0,1.0,0.0,0,-0.6424425557571334,0,16,False,False,0.0
2026-06-03 14:15:41,1780463741.432508,8324.0,8316.733333333334,8335.458333333334,8370.071305086489,-27.866666666666788,-10.0,1.0,0.0,0,-0.6372463245413662,0,17,False,False,0.0
2026-06-03 14:15:43,1780463743.451627,8324.0,8317.133333333333,8335.458333333334,8370.068782796669,-27.366666666666788,-10.0,1.0,0.0,0,-0.6324374486878248,0,18,False,False,0.0
2026-06-03 14:15:45,1780463745.4427626,8324.0,8317.533333333333,8335.438333333334,8370.06587868382,-26.899999999999636,-10.0,1.0,0.0,0,-0.627624036798468,0,19,False,False,0.0
2026-06-03 14:15:47,1780463747.460621,8324.0,8317.9,8335.423333333334,8370.064732424273,-26.366666666666788,-10.0,1.0,0.0,0,-0.6232297370675688,0,20,False,False,0.0
