file,code,trade,PERIOD_MA_1,PERIOD_MA_2,PERIOD_MR,THRESHOLD_MR,total
ticks_20251128.xlsx,7011,10,60,600,30,7,-9.0
ticks_20251201.xlsx,7011,8,60,600,30,7,-23.0
ticks_20251127.xlsx,7011,10,90,600,30,7,-11.0
ticks_20251128.xlsx,7011,8,90,600,30,7,-22.0
ticks_20251201.xlsx,7011,8,90,600,30,7,-14.0
ticks_20251127.xlsx,7011,6,30,900,30,7,-12.0
ticks_20251128.xlsx,7011,8,30,900,30,7,0.0
ticks_20251201.xlsx,7011,8,30,900,30,7,-22.0
ticks_20251127.xlsx,7011,8,60,900,30,7,-9.0
ticks_20251128.xlsx,7011,10,60,900,30,7,-9.0
ticks_20251201.xlsx,7011,6,60,900,30,7,6.0
ticks_20251127.xlsx,7011,4,90,900,30,7,-4.0
ticks_20251128.xlsx,7011,6,90,900,30,7,-17.0
ticks_20251201.xlsx,7011,8,90,900,30,7,0.0
ticks_20251127.xlsx,7011,14,30,300,45,7,-24.0
ticks_20251128.xlsx,7011,18,30,300,45,7,21.0
ticks_20251201.xlsx,7011,28,30,300,45,7,-31.0
ticks_20251127.xlsx,7011,20,60,300,45,7,-29.0
ticks_20251128.xlsx,7011,20,60,300,45,7,21.0
ticks_20251201.xlsx,7011,28,60,300,45,7,1.0
ticks_20251127.xlsx,7011,12,90,300,45,7,-18.0
ticks_20251128.xlsx,7011,16,90,300,45,7,0.0
ticks_20251201.xlsx,7011,16,90,300,45,7,5.0
ticks_20251127.xlsx,7011,12,30,600,45,7,-31.0
ticks_20251128.xlsx,7011,16,30,600,45,7,-17.0
ticks_20251201.xlsx,7011,26,30,600,45,7,-28.0
ticks_20251127.xlsx,7011,14,60,600,45,7,-15.0
ticks_20251128.xlsx,7011,16,60,600,45,7,-40.0
ticks_20251201.xlsx,7011,18,60,600,45,7,-2.0
ticks_20251127.xlsx,7011,10,90,600,45,7,-11.0
ticks_20251128.xlsx,7011,12,90,600,45,7,-26.0
ticks_20251201.xlsx,7011,10,90,600,45,7,-20.0
ticks_20251127.xlsx,7011,8,30,900,45,7,-15.0
ticks_20251128.xlsx,7011,16,30,900,45,7,-6.0
ticks_20251201.xlsx,7011,18,30,900,45,7,-7.0
ticks_20251127.xlsx,7011,16,60,900,45,7,-27.0
ticks_20251128.xlsx,7011,16,60,900,45,7,-3.0
ticks_20251201.xlsx,7011,14,60,900,45,7,20.0
ticks_20251127.xlsx,7011,10,90,900,45,7,-16.0
ticks_20251128.xlsx,7011,14,90,900,45,7,-18.0
ticks_20251201.xlsx,7011,12,90,900,45,7,16.0
